cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,0.07154510527680329,-999.9284548947232,999.9284548947232,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,0.017642264699213667,-999.9823577353008,999.9823577353008,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,0.017893411771342967,-999.9821065882287,999.9821065882287,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,0.017210782897317877,-999.9827892171027,999.9827892171027,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,0.016891933271706988,-999.9831080667283,999.9831080667283,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,0.01692884215515566,-999.9830711578448,999.9830711578448,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,0.01662525487443896,-999.9833747451256,999.9833747451256,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,0.01718073804958604,-999.9828192619505,999.9828192619505,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,0.01640628158647074,-999.9835937184135,999.9835937184135,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,0.016410968169698305,-999.9835890318303,999.9835890318303,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,0.017757772687031503,-999.982242227313,999.982242227313,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,0.018085357749111585,-999.9819146422509,999.9819146422509,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,0.018119669063294278,-999.9818803309367,999.9818803309367,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,0.0179094656945726,-999.9820905343054,999.9820905343054,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,0.017276650773973674,-999.982723349226,999.982723349226,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
