cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,0.07168806175737082,-999.9283119382426,999.9283119382426,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,0.017995135716045857,-999.9820048642839,999.9820048642839,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,0.016811310333597344,-999.9831886896663,999.9831886896663,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,0.01661503222095168,-999.9833849677791,999.9833849677791,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,0.017259866091308508,-999.9827401339087,999.9827401339087,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,0.017924469085104956,-999.9820755309149,999.9820755309149,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,0.016216999482291317,-999.9837830005177,999.9837830005177,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,0.01750994843928358,-999.9824900515607,999.9824900515607,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,0.018110622300849963,-999.9818893776992,999.9818893776992,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,0.017334216347605985,-999.9826657836524,999.9826657836524,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,0.018089521781007468,-999.981910478219,999.981910478219,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,0.017630810154697224,-999.9823691898453,999.9823691898453,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,0.016443092522467482,-999.9835569074776,999.9835569074776,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,0.017761341601077788,-999.982238658399,999.982238658399,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,0.017020265744434965,-999.9829797342555,999.9829797342555,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
