cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,0.06619713787132783,-999.9338028621287,999.9338028621287,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,0.01656634174141622,-999.9834336582586,999.9834336582586,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,0.016237752391579565,-999.9837622476084,999.9837622476084,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,0.016269701914210177,-999.9837302980858,999.9837302980858,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,0.017477343339642792,-999.9825226566603,999.9825226566603,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,0.017534191423362034,-999.9824658085766,999.9824658085766,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,0.01646858353274201,-999.9835314164673,999.9835314164673,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,0.016596677118093824,-999.9834033228819,999.9834033228819,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,0.0165499580553682,-999.9834500419446,999.9834500419446,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,0.018124652841123478,-999.9818753471588,999.9818753471588,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,0.01785209079909246,-999.9821479092009,999.9821479092009,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,0.01768089849017558,-999.9823191015098,999.9823191015098,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,0.017883084812446794,-999.9821169151876,999.9821169151876,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,0.01759716326685133,-999.9824028367332,999.9824028367332,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,0.01637490126570741,-999.9836250987343,999.9836250987343,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
