cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,0.07100613594511285,-999.9289938640549,999.9289938640549,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,0.017534559526958083,-999.982465440473,999.982465440473,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,0.017189068596511942,-999.9828109314035,999.9828109314035,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,0.017283206188666928,-999.9827167938113,999.9827167938113,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,0.017861885779757124,-999.9821381142202,999.9821381142202,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,0.017124402657490444,-999.9828755973425,999.9828755973425,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,0.017542968665277613,-999.9824570313348,999.9824570313348,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,0.017262340502290606,-999.9827376594977,999.9827376594977,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,0.017783481599828482,-999.9822165184002,999.9822165184002,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,0.018100800900057102,-999.9818991991,999.9818991991,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,0.01674253755186148,-999.9832574624481,999.9832574624481,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,0.017576861445922062,-999.982423138554,999.982423138554,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,0.016881530102255255,-999.9831184698977,999.9831184698977,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,0.016567286392353348,-999.9834327136076,999.9834327136076,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,0.017988563293404796,-999.9820114367066,999.9820114367066,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
