cycle_number,target_weight,actual_weight,error,abs_error,learning_rate,max_adjustment,convergence_speed,material_type,coarse_advance,fine_advance,jog_count
1,1000.0,-47.947059498620156,-1047.94705949862,1047.94705949862,0.2,0.3,normal,unknown,60.0,6.0,1
2,1000.0,-83.83046774461664,-1083.8304677446167,1083.8304677446167,0.2,0.3,normal,unknown,100.0,9.669120000000003,1
3,1000.0,-79.27492344154771,-1079.2749234415478,1079.2749234415478,0.2,0.3,normal,unknown,100.0,15.581980262400007,1
4,1000.0,-66.25946682376731,-1066.2594668237673,1066.2594668237673,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
5,1000.0,-55.80354875456215,-1055.8035487545621,1055.8035487545621,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
6,1000.0,-53.01163125657738,-1053.0116312565774,1053.0116312565774,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
7,1000.0,-52.757141411024016,-1052.7571414110241,1052.7571414110241,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
8,1000.0,-50.093640415645325,-1050.0936404156453,1050.0936404156453,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
9,1000.0,-53.18450914884776,-1053.1845091488478,1053.1845091488478,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
10,1000.0,-50.95741931394001,-1050.95741931394,1050.95741931394,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
11,1000.0,-51.57607515516548,-1051.5760751551654,1051.5760751551654,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
12,1000.0,-51.82807028318967,-1051.8280702831896,1051.8280702831896,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
13,1000.0,-53.259458935581975,-1053.259458935582,1053.259458935582,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
14,1000.0,-52.03105424326926,-1052.0310542432692,1052.0310542432692,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
15,1000.0,-51.085843673807005,-1051.085843673807,1051.085843673807,0.16000000000000003,0.3,normal,unknown,100.0,30.0,1
