control_params,cycle_id,cycle_time,target_weight,timestamp,true_weight,weight
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",1,2.7816384294424985,1000.0,2025-04-26T14:59:14.800432,995.8258082249114,994.8285267447496
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",2,2.7951001578013206,1000.0,2025-04-26T14:59:17.595831,989.684986029387,990.7881013004977
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",3,2.7846828397675214,1000.0,2025-04-26T14:59:20.380720,994.9452813645014,996.0621474523366
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",4,3.064981473784832,1000.0,2025-04-26T14:59:23.446474,1003.1466740819229,1002.4481438236568
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",5,3.3987564219716075,1000.0,2025-04-26T14:59:26.845807,999.1111216352467,999.864950106422
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",6,3.2706711306764813,1000.0,2025-04-26T14:59:30.117048,991.1098535936738,991.9561531885342
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",7,3.203652279040557,1000.0,2025-04-26T14:59:33.321235,1001.0760250647821,1001.7535358753942
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",8,3.2704944055840905,1000.0,2025-04-26T14:59:36.592264,997.7049427252008,997.6852316334989
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",9,3.3566091308565604,1000.0,2025-04-26T14:59:39.949473,998.9622342047646,998.6938162994454
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",10,3.3055143105358105,1000.0,2025-04-26T14:59:43.255105,1000.4254845958441,1001.3976684949191
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",11,2.8124979899244744,1000.0,2025-04-26T14:59:46.067739,998.0738495465391,998.2559243323816
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",12,3.253757311565156,1000.0,2025-04-26T14:59:49.321866,997.87460772268,996.7234972795032
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",13,3.445507760603497,1000.0,2025-04-26T14:59:52.767806,1001.5112875906627,1001.8924995501952
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",14,3.221889903261792,1000.0,2025-04-26T14:59:55.990190,997.7419299570889,997.9483971020035
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",15,3.288448634276671,1000.0,2025-04-26T14:59:59.279195,1001.9881496105778,1002.5640795991494
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",16,3.05143337460717,1000.0,2025-04-26T15:00:02.331059,1001.2557514017682,1000.9123481209224
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",17,2.9779732605555123,1000.0,2025-04-26T15:00:05.309188,1002.0734940155637,1003.4829860251459
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",18,3.250663487841662,1000.0,2025-04-26T15:00:08.560397,997.9779698529459,998.1431479079199
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",19,3.031326429718676,1000.0,2025-04-26T15:00:11.591839,998.2461203961402,998.8689885058341
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",20,2.9524226469571944,1000.0,2025-04-26T15:00:14.544641,996.7982120371568,995.9965125418994
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",21,3.147273459964554,1000.0,2025-04-26T15:00:17.692274,998.8094286942587,998.992848798483
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",22,3.216014886729476,1000.0,2025-04-26T15:00:20.908607,1007.8719673711477,1007.9061762974948
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",23,3.140086103118288,1000.0,2025-04-26T15:00:24.048990,997.7022229452461,999.2672448648103
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",24,2.97427731109989,1000.0,2025-04-26T15:00:27.024085,1006.1669174214209,1005.0602185126367
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",25,3.2134940469633495,1000.0,2025-04-26T15:00:30.237972,995.4012908348004,994.8232482680314
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",26,2.8903922207719637,1000.0,2025-04-26T15:00:33.128944,1000.2479380486216,1001.5474732243254
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",27,3.131157897672666,1000.0,2025-04-26T15:00:36.261010,1000.2544876764096,1000.8191884668871
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",28,3.0777309383821008,1000.0,2025-04-26T15:00:39.339026,999.7358926182638,999.645052930621
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",29,3.3478363074878827,1000.0,2025-04-26T15:00:42.686985,995.9652535069838,995.0389827158695
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",30,3.4379333411540225,1000.0,2025-04-26T15:00:46.125361,995.6360397730799,995.2384106487204
"{'feeding_speed_coarse': 40.0, 'feeding_speed_fine': 20.0, 'advance_amount_coarse': 2.0, 'advance_amount_fine': 0.5, 'vibration_frequency': 30.0, 'feeding_time': 3.0}",31,3.4043286665518373,1000.0,2025-04-26T15:00:49.529928,985.8626171857766,985.9750208607525
